S1MEAN,S2MEAN,S3MEAN,S4MEAN,S5MEAN,S1MEDIAN,S2MEDIAN,S3MEDIAN,S4MEDIAN,S5MEDIAN,S1STDEV,S2STDEV,S3STDEV,S4STDEV,S5STDEV,S1AVEDEV,S2AVEDEV,S3AVEDEV,S4AVEDEV,S5AVEDEV,S1MIN,S2MIN,S3MIN,S4MIN,S5MIN,S1MAX,S2MAX,S3MAX,S4MAX,S5MAX,S1SKEW,S2SKEW,S3SKEW,S4SKEW,S5SKEW,S1KURT,S2KURT,S3KURT,S4KURT,S5KURT,ASA,S1MEAN2,S2MEAN2,S3MEAN2,S4MEAN2,S5MEAN2,S1MEDIAN2,S2MEDIAN2,S3MEDIAN2,S4MEDIAN2,S5MEDIAN2,S1STDEV2,S2STDEV2,S3STDEV2,S4STDEV2,S5STDEV2,S1AVEDEV2,S2AVEDEV2,S3AVEDEV2,S4AVEDEV2,S5AVEDEV2,S1MIN2,S2MIN2,S3MIN2,S4MIN2,S5MIN2,S1MAX2,S2MAX2,S3MAX2,S4MAX2,S5MAX2,S1SKEW2,S2SKEW2,S3SKEW2,S4SKEW2,S5SKEW2,S1KURT2,S2KURT2,S3KURT2,S4KURT2,S5KURT2,SUBJECT,ACTION,TRIAL
-167.1158041,87.67909256,356.4816465,-600.2028023,-494.0823631,-4,-19,738,-222.27,-150,363.9205776,600.9279476,634.3500723,743.6652065,776.5075404,344.6823336,495.0692421,577.1554527,574.3173123,617.2163635,-683,-769,-707,-2039,-2040,252,1041,1021.8,4.6218,58.255,-0.317089129,0.21963764,-0.661555307,-1.266469743,-1.453505963,-1.647862903,-0.910285845,-1.121980495,-0.091576402,0.19492523,875.816913,312.727159,478.5157028,648.451782,600.4572862,515.1933143,248,377,738,222.27,150,250.0707691,373.7950237,329.9305841,743.4596491,762.6580934,228.1932498,338.7760184,249.0546527,574.2155187,608.771983,1,0,22,0,49,683,1041,1021.8,2039,2040,0.24181676,0.30080066,-1.061352631,1.267162891,1.486031257,-1.488114985,-1.398853658,-0.161873885,-0.090815548,0.233705231,15,THREE,1
-169.0370271,66.921864,337.435292,-600.7516635,-496.0936076,-3,-15,734,-224,-155,369.854881,612.2454869,638.9917555,743.3772857,775.5651934,348.9945543,503.5293454,593.9660016,574.0972493,616.322717,-702,-1000,-767,-2039,-2040,329,1053,1036,8,96,-0.301053908,0.182278316,-0.547965326,-1.2657108,-1.451420266,-1.633680319,-0.953880929,-1.351615981,-0.092571682,0.191955953,868.2891554,319.9864275,492.73256,661.45306,601.0049098,516.9444084,254,371,734,224,155,250.8890129,369.3810168,290.7290395,743.1724744,761.8203613,228.2494557,335.6802375,213.7852394,573.9951404,607.9823966,0,0,24,0,31,702,1053,1036,2039,2040,0.245149955,0.22120629,-0.940908521,1.266403255,1.484203942,-1.480024251,-1.446770851,0.026840042,-0.091813021,0.23097336,15,THREE,2
16.2958095,-22.84817365,425.8045629,-311.4253965,-88.02116203,84.16,82.848,799,-224,-134,580.755395,544.7440623,613.6479375,238.1081566,102.1742024,531.4160169,449.5610745,550.7785332,221.8053847,93.87096239,-779.89,-913,-672,-756.68,-227,720,786,1121,50,561,-0.092792102,-0.192973538,-0.768240332,-0.119081209,0.625974101,-1.733615709,-1.001799737,-0.969510692,-1.619776486,0.020120732,535.5657016,534.6751788,445.0627525,677.7150855,312.5065962,113.3117271,610,248,799,224,134,227.0273278,314.8045478,313.7761091,236.686729,73.11323177,178.9796668,301.4384867,248.5991119,220.940425,65.04384508,44,14,0,0,0,779.89,913,1121,756.68,561,-1.399610166,0.183021285,-0.944903023,0.131337786,-0.070059163,0.13168507,-1.734749494,-0.43254195,-1.630811686,-0.377546301,15,THREE,3
193.1078135,-77.46941585,349.4442356,-314.3002018,-81.93246785,420,-55.5,671,-224,-129,573.3695286,523.2767693,666.1107533,245.7053274,113.7716752,515.5353667,421.5006784,539.585142,221.5946041,98.63606797,-1280,-1270.1,-1847,-1064,-513,1471,2047,2047,284,501,-0.371566951,-0.057841851,-1.16887567,-0.15307733,0.353349981,-1.311925909,-0.637903894,0.027528353,-1.172850803,0.661442014,520.4814674,548.6143942,421.9797485,701.9790721,320.7946433,115.3528913,600,327.5,742,224.35,131,254.8306432,318.8579871,269.9294399,237.1593086,79.67096347,194.800826,290.5938711,201.3714783,216.2826902,65.95023513,6,0,6,0,0,1471,2047,2047,1064,513,-0.472902288,0.461708467,-0.470827371,0.246363345,0.652192541,-0.022161139,-0.696294723,0.841811772,-1.255391432,1.290388071,15,THREE,4
247.0481098,172.2105938,16.54488,-310.7409292,-84.27389032,432.91,-68,428,-219.5,-133,615.978345,405.9112613,724.2374492,239.5874987,99.20989685,543.5707216,391.1122361,690.8722596,223.4964566,92.55349162,-800,-543,-1071,-635,-211,970,771.28,795,35,139,-0.544497756,0.410058632,-0.462284887,-0.121579346,0.34285762,-1.100706122,-1.701045526,-1.591754967,-1.623809691,-1.481160541,441.1632395,592.9803436,356.6701173,694.1812356,312.3372418,110.0213228,727,209,640,219.5,133,297.8375268,259.1591983,206.6201401,237.5017889,69.55412563,262.9825388,244.1662346,156.0308492,222.2194066,61.74116824,94,60,390,0,0,970,771.28,1071,635,211,-0.576594407,0.412737795,0.670581883,0.139216995,-0.230996088,-1.020882409,-1.524946721,-0.479147442,-1.639240393,-1.269474151,15,THREE,5
953.1693056,172.5599591,-106.8743081,-319.3894671,-84.93187762,1061,93,7,-275,-93,527.4949286,626.1836866,342.2559957,261.017338,154.9826446,405.1115069,463.8385656,292.1112991,228.311923,122.5312107,-530,-2048,-1076,-820.19,-643,2245.9,2047,790,259.07,467,-0.51743601,0.168593955,-0.517045449,0.127332503,0.047557765,-0.342198144,1.021730766,-0.934898236,-1.086048967,0.176236546,1029.054827,960.9629411,463.6532787,276.7477207,345.0504428,142.8422704,1061,235,200,275,126,513.1523102,454.7689167,227.9012299,225.9894621,104.0309937,394.7814661,373.8140905,195.217607,204.6452295,81.85142752,0,0,0,0.80126,0,2245.9,2048,1076,820.19,643,-0.448292095,1.305878392,0.727082925,0.203675573,0.99283377,-0.410983494,1.12476017,-0.747734132,-1.392409887,1.12015863,15,FOUR,1
941.6222378,172.6069022,-112.1842922,-316.4622241,-87.72660547,1051,77,1,-273.5,-98.203,525.2816154,616.4044472,336.5717509,260.3828028,159.6099501,404.7747618,462.4317144,287.6301056,229.715187,123.5523814,-605,-2048,-1021,-765,-634,2068.1,2047,773,317,464,-0.599135135,0.234257927,-0.531139264,0.16671124,0.09477491,-0.276636087,0.678745551,-0.903828482,-1.097176601,0.413179344,1018.270688,954.245085,459.2445063,272.0490858,342.1319295,147.2367121,1051,225.25,193,276,127.545,501.9743403,445.8212624,227.6536094,225.5777201,107.1729695,388.5413254,373.4961321,194.0269331,206.2850145,83.62569276,0,0,0.49878,0,0.5,2068.1,2048,1021,765,634,-0.485401961,1.210380801,0.780231357,0.154810263,1.077598548,-0.436025925,0.651214858,-0.70195413,-1.486804963,1.308788926,15,FOUR,2
932.4106591,176.3334495,-123.6119958,-320.8420659,-87.26194547,1049,79,10,-277,-92,531.8657856,615.7495286,341.7669753,254.9971208,152.8964817,409.0201524,460.8351355,299.9249323,228.1069555,119.1797931,-643.34,-1988,-1006.6,-768,-665.59,2128.7,2135.6,652,194,578,-0.565180236,0.218811954,-0.513416036,0.08342091,-0.073762187,-0.227882533,0.649837855,-1.119077141,-1.331326464,0.613532798,1013.073209,947.8673798,459.6353541,278.1691893,337.8969472,140.755422,1049,226,198.5,277,120,503.7899051,445.9702201,233.8301773,231.9124815,105.7071961,389.2727521,373.6408467,203.1972548,212.4490599,80.49349282,1.5074,0,0,0,0,2128.7,2135.6,1006.6,768,665.59,-0.425583632,1.189462978,0.652509882,0.112847397,1.26756201,-0.406991448,0.568653725,-0.969661647,-1.52888712,2.02647242,15,FOUR,3
957.8259534,179.9844015,-117.3396325,-318.4566332,-90.73375697,1057,102.13,-19,-276.63,-95,552.7067104,632.3932299,338.6667293,262.7578449,154.9025368,425.1319075,468.506434,287.8081938,230.7752905,119.3327567,-687.06,-2048,-982.9,-799,-777,2061.1,2047,813,257,395,-0.559562121,0.202178742,-0.425372637,0.103218618,-0.119866194,-0.279349234,0.90287597,-0.89447158,-1.102602082,0.527604365,1035.973346,976.4169486,469.8833094,276.56985,342.8561075,144.5704851,1057,235,192,276.63,124.665,519.1406715,459.8152454,227.9060487,229.9953226,106.3972942,401.8575535,378.5789643,196.2192567,208.1924231,81.60499904,0,0,0,0,0,2061.1,2048,982.9,799,777,-0.401063492,1.281398967,0.729128489,0.200031381,1.270893837,-0.471003454,0.940827148,-0.827612345,-1.395497421,2.482845488,15,FOUR,4
957.2201561,172.1093717,-109.6486915,-315.0666295,-95.78646506,1056,88,-10,-274,-102,547.7885208,629.5075312,342.3772011,263.7241151,167.635517,422.3586757,464.9336287,287.7083666,229.5623843,123.7977048,-659,-2201.4,-1093,-838,-1294,2089,2047,951,295,512,-0.538964612,0.186496793,-0.49483057,0.199684897,-0.691285492,-0.273397346,1.030039884,-0.703538084,-0.980469378,5.184936733,1032.645596,973.7559781,463.6217703,274.797474,345.8555035,149.8820383,1056,230,193,277,129.76,517.8085021,459.1964487,231.7300993,221.7903212,121.6769775,401.5404242,376.8399416,196.5084194,201.3251017,86.97699835,0,0,0,0,0,2089,2201.4,1093,838,1294,-0.390457556,1.312754151,0.84073892,0.197096262,2.575545853,-0.466035671,1.085630523,-0.464793286,-1.411887148,15.50985592,15,FOUR,5
